Component,Part Number,Description,Quantity
,70TF3,"ARTWORK, LABEL, 14G, LEGACY, SCAN",1
,1J79T,"LABEL, PRINT ON DEMAND, 14G, SCAN, QRL",1
,FTY7H,"ARTWORK, LABEL, 14G, OMM, QRL",1
,1J79T,"LABEL, PRINT ON DEMAND, 14G, SCAN, QRL",1
"379-BCQV : iDRAC Group Manager, Enabled",5WR5K,"INFORMATION, GRAPE, MNGR, ON",1
"379-BCQQ : 4 CPU Heatsink, 3UPI",471H9,"ASSEMBLY, SHROUD, AIR, TOP, 4S, R940",1
,XPDVP,"CLIP, LOCKING, CPU TOP, PLASTIC, SKTP0",4
,98C85,"ASSEMBLY, HEATSINK, 4S, CENTRAL PROCESSOR UNIT, R940",2
,53J26,"ASSEMBLY, CABLE, UPI, 4S, R940",4
,79PCJ,"PRINTED WIRING ASSY, PLANAR (MOTHERBOARD), SERVER, SERVER CHASSIS, PORT EXPANDER MODULE, R940",1
,MXX5P,"ASSEMBLY, CABLE, CLOCK, UPI, 4S, R940",1
,FVT03,"PRINTED WIRING ASSY, INPUT/OUTPUT, PC INTERFACE, RIGHT, GEN3, R940",1
,92CG2,"PRINTED WIRING ASSY, POWER DISTRIBUTION BOARD, SERVER, SERVER CHASSIS, R940",2
,NWRX5,"PRINTED WIRING ASSY, INPUT/OUTPUT, PC INTERFACE, LEFT, GEN3, R940",1
,5M8WD,"FILLER, BLANK , DUAL IN-LINE MEMORY MODULE, PLASTIC, 13G",40
"374-BBRG : 2x Intel Xeon Gold 6152 2.1G, 22C/44T, 10.4GT/s , 30M Cache,  Turbo, HT (140W) DDR4-2666",Y1HH1,"PROCESSOR, 6152, 2.1, 30.25MB, SKL, H0",2
370-ADNU : 2666MT/s RDIMMs,M1G12,"INFORMATION, ORD-ENTRY, 2666MTS, RDIMMS",1
370-ADNF : 32GB RDIMM  2666MT/s  Dual Ran k,TN78Y,"DUAL IN-LINE MEMORY MODULE, 32GB, 2666, 2RX4, 8G, DDR4, R",24
370-AAIP : Performance Optimized,74FPM,"INFORMATION, MEMORY BOARD, MEMORY, OPTIMIZED",1
